Name,Subcategory,Category,Type,IsSoftware,Counts
Sphygmomanometers,Medical Equipment and Technology,Health Care,Specialized Skill,False,3
Spices (Cooking),Food and Beverage,Hospitality and Food Services,Specialized Skill,False,1
Spiceworks,Networking Software,Information Technology,Specialized Skill,True,6
Spider Project,,,Specialized Skill,True,3
Spill Containment,Hazardous Materials Management,Environment,Specialized Skill,False,2
Spill Response,Hazardous Materials Management,Environment,Specialized Skill,False,33
Spill Response Training,,,Certification,False,1
Spillway,Geological Engineering,Engineering,Specialized Skill,False,8
Spinal Cord Injuries,Injury Treatment,Health Care,Specialized Skill,False,453
Spinal Fusion,Orthopedics,Health Care,Specialized Skill,False,2
Spinal Injections,General Medical Tests and Procedures,Health Care,Specialized Skill,False,2
Spiral Model,Software Development Tools,Information Technology,Specialized Skill,False,8
Spiritual Care,Religious Studies and Services,Social and Human Services,Specialized Skill,False,903
Spiritual Counseling,Religious Studies and Services,Social and Human Services,Specialized Skill,False,1
Spiritual Direction,Religious Studies and Services,Social and Human Services,Specialized Skill,False,1
Spirituality,Religious Studies and Services,Social and Human Services,Specialized Skill,False,21
Spirometry,Pulmonology,Health Care,Specialized Skill,False,295
Splash Pages,Web Design and Development,Information Technology,Specialized Skill,False,2
Spleen,Immunology,Health Care,Specialized Skill,False,2
Splice Machine,,,Specialized Skill,False,1
Splicing,Telecommunications Equipment and Installation,"Maintenance, Repair, and Facility Services",Specialized Skill,False,266
Splines,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,2
Splinting,First Aid,Health Care,Specialized Skill,False,94
Splunk,Data Science,Analysis,Specialized Skill,True,920
Splunk Development,Software Development,Information Technology,Specialized Skill,False,14
Splunk Enterprise Security,Cybersecurity,Information Technology,Specialized Skill,True,16
Spock (Testing Framework),Software Quality Assurance,Information Technology,Specialized Skill,True,32
Sponsored Posts,Digital Marketing,Marketing and Public Relations,Specialized Skill,False,2
Spooling,Production and Assembly,Manufacturing and Production,Specialized Skill,False,125
Sport Business,,,Specialized Skill,False,8
Sport Psychology,Mental and Behavioral Health Specialties,Health Care,Specialized Skill,False,19
Sports Analytics,Data Analysis,Analysis,Specialized Skill,False,2
Sports Coaching,Coaching and Athletic Training,"Performing Arts, Sports, and Recreation",Specialized Skill,False,1403
Sports Equipment,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,151
Sports Facility Management,Facility Management and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,6
Sports Injuries,Injury Treatment,Health Care,Specialized Skill,False,78
Sports Journalism,Journalism,Media and Communications,Specialized Skill,False,15
Sports Law,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,8
Sports Management,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,17
Sports Marketing,Industry Specific Marketing,Marketing and Public Relations,Specialized Skill,False,33
Sports Massage,Alternative Therapy,Health Care,Specialized Skill,False,46
Sports Medicine,General Medicine,Health Care,Specialized Skill,False,101
Sports Nutrition,Nutrition and Diet,Health Care,Specialized Skill,False,23
Sports Officiating,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,12
Sports Operations,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,2
Sports Recruitment,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,12
Sports Tourism,,,Specialized Skill,False,1
Spot Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,93
Spotfire (Data Analytics Software),Data Analysis,Analysis,Specialized Skill,True,109
Spotify,Audio Production and Technology,Media and Communications,Specialized Skill,True,21
Spray Foam Insulation,Insulation,Architecture and Construction,Specialized Skill,False,4
Spray Painting,Construction Painting,Architecture and Construction,Specialized Skill,False,318
Spread Spectrum,Radio Frequency (RF),Engineering,Specialized Skill,False,2
Spreadsheets,Office and Productivity Equipment and Technology,Administration,Common Skill,False,7141
Spring Batch,Software Development Tools,Information Technology,Specialized Skill,True,38
Spring Boot,Software Development Tools,Information Technology,Specialized Skill,True,1418
Spring Cloud,Cloud Solutions,Information Technology,Specialized Skill,True,67
Spring Cloud Config,Configuration Management,Information Technology,Specialized Skill,True,1
Spring Cloud Gateway,Cloud Solutions,Information Technology,Specialized Skill,True,2
Spring Cloud Netflix,Cloud Solutions,Information Technology,Specialized Skill,True,1
Spring Cloud Stream,Cloud Solutions,Information Technology,Specialized Skill,True,3
Spring Data,Software Development Tools,Information Technology,Specialized Skill,True,58
Spring Framework,Software Development Tools,Information Technology,Specialized Skill,True,1647
Spring Integration,Enterprise Application Management,Information Technology,Specialized Skill,True,34
Spring MVC,Software Development Tools,Information Technology,Specialized Skill,True,135
Spring Security,Cybersecurity,Information Technology,Specialized Skill,True,66
Spring WebFlux,Web Design and Development,Information Technology,Specialized Skill,True,10
Spring.net,Software Development Tools,Information Technology,Specialized Skill,True,6
Sprinkler Systems,"Fire Prevention, Safety, and Control",Public Safety and National Security,Specialized Skill,False,154
Sprinklr,Customer Relationship Management (CRM),Business,Specialized Skill,True,54
Sprint Backlogs,Agile Software Development,Information Technology,Specialized Skill,False,69
Sprint Planning,Agile Software Development,Information Technology,Specialized Skill,False,879
Sprint Retrospectives,Agile Software Development,Information Technology,Specialized Skill,False,784
SpriteKit,Software Development Tools,Information Technology,Specialized Skill,True,3
Sprocket,Machinery,Manufacturing and Production,Specialized Skill,False,37
Sprout Social,Social Media,Marketing and Public Relations,Specialized Skill,True,68
Sputter Deposition,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,14
Sputum,Pulmonology,Health Care,Specialized Skill,False,40
SpyFu (Software),Web Analytics and SEO,Marketing and Public Relations,Specialized Skill,True,1
Spyware,Malware Protection,Information Technology,Specialized Skill,True,34
Sql Optimization,Databases,Information Technology,Specialized Skill,True,4
Sql View,,,Specialized Skill,True,3
Sqlmap,Cybersecurity,Information Technology,Specialized Skill,False,1
Sqoop,"Extraction, Transformation, and Loading (ETL)",Information Technology,Specialized Skill,True,41
Sqoop2,,,Specialized Skill,True,1
Squarespace,Web Design and Development,Information Technology,Specialized Skill,True,24
Squeegee,Cleaning and Janitorial Services,"Maintenance, Repair, and Facility Services",Specialized Skill,True,10
Squid (Proxy Server),Servers,Information Technology,Specialized Skill,True,68
Ssas Tabular,Business Intelligence Software,Analysis,Specialized Skill,True,69
Ssh Keys,Cybersecurity,Information Technology,Specialized Skill,True,1
Ssrs 2012,Database Architecture and Administration,Information Technology,Specialized Skill,True,1
Stability Testing,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,111
Stablecoins,Cryptocurrency,Finance,Specialized Skill,False,5
Stack Emission Measurements,Air Quality and Emissions,Environment,Specialized Skill,False,18
Stack Overflow,Software Development Tools,Information Technology,Specialized Skill,True,30
Stackdriver,Cloud Solutions,Information Technology,Specialized Skill,True,32
Staff Management,People Management,Business,Specialized Skill,False,2228
Staff Planning,Human Resources Management and Planning,Human Resources,Specialized Skill,False,164
Staffing Metrics,Recruitment,Human Resources,Specialized Skill,False,3
Staffing Software,Human Resources Software,Human Resources,Specialized Skill,True,1
Stage Lighting,Electrical Construction,Architecture and Construction,Specialized Skill,False,13
Stage Management,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,70
Stage Performances,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,6
Stage Rigging,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,3
Stagecraft,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,42
Staging Area,Construction Management,Architecture and Construction,Specialized Skill,False,33
Staging Site,Software Development,Information Technology,Specialized Skill,False,1
Stainless Steel Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,25
Stairs And Railings,Carpentry,Architecture and Construction,Specialized Skill,False,1
Stakeholder Analysis,Public Relations,Marketing and Public Relations,Specialized Skill,False,97
Stakeholder Communications,Public Relations,Marketing and Public Relations,Specialized Skill,False,3483
Stakeholder Engagement,Business Leadership,Business,Specialized Skill,False,3598
Stakeholder Identification,Business Management,Business,Specialized Skill,False,86
Stakeholder Management,Project Management,Business,Specialized Skill,False,14799
Stakeholder Requirements,Business Strategy,Business,Specialized Skill,False,511
Stakeholder Training,Business Communications,Business,Specialized Skill,False,29
Staking,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,1
Stamping (Metalworking),Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,138
Stamping Press,Machinery,Manufacturing and Production,Specialized Skill,False,10
Stand-Alone Server,Servers,Information Technology,Specialized Skill,False,3
Stand-Up Comedy,Theatre and Performance Art,"Performing Arts, Sports, and Recreation",Specialized Skill,False,1
Standard Accounting Practices,General Accounting,Finance,Specialized Skill,False,1567
Standard Cost Accounting,Cost Accounting,Finance,Specialized Skill,False,347
Standard Deviation,Statistics,Analysis,Specialized Skill,False,11
Standard Generalized Markup Language,Extensible Languages and XML,Information Technology,Specialized Skill,True,18
Standard Occupational Classification Systems,,,Specialized Skill,False,18
Standard Operating Environments,Operating Systems,Information Technology,Specialized Skill,False,5
Standard Operating Procedure,Business Operations,Business,Specialized Skill,False,4311
Standard Operating Procedures Development,Business Operations,Business,Specialized Skill,False,10
Standard SQL,Query Languages,Information Technology,Specialized Skill,True,8
Standard Template Library (STL),C and C++,Information Technology,Specialized Skill,False,155
Standard Widget Toolkits,Java,Information Technology,Specialized Skill,False,12
Standards Of Training Certification and Watchkeeping,,,Certification,False,76
Standards Organization,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,54
Standing Wave Ratios,Radio Frequency (RF),Engineering,Specialized Skill,False,4
Staphylococcus Aureus,Infectious Diseases,Health Care,Specialized Skill,False,2
Star Schema,Data Science,Analysis,Specialized Skill,False,115
StarTeam,Version Control,Information Technology,Specialized Skill,True,12
StatXact,Statistical Software,Analysis,Specialized Skill,True,1
Stata,Statistical Software,Analysis,Specialized Skill,True,178
State Bar Membership,,,Certification,False,23
State Income Tax,Tax,Finance,Specialized Skill,False,1
State Laws,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,5
State Machines,Electrical and Computer Engineering,Engineering,Specialized Skill,False,18
State Ownership,,,Specialized Skill,False,1
State Space,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,4
State Taxes,Tax,Finance,Specialized Skill,False,14
Stateflow,Engineering Software,Engineering,Specialized Skill,True,51
Stateful Firewall,Network Security,Information Technology,Specialized Skill,False,3
Statement On Auditing Standards (SAS) No. 70,Auditing,"Law, Regulation, and Compliance",Specialized Skill,False,2
Statement Reconciliation,General Accounting,Finance,Specialized Skill,False,1529
Statgraphics,Statistical Software,Analysis,Specialized Skill,True,2
Static Application Security Testing (SAST),Cybersecurity,Information Technology,Specialized Skill,False,81
Static Content,Web Design and Development,Information Technology,Specialized Skill,False,9
Static Data,Data Management,Information Technology,Specialized Skill,False,168
Static Electricity,Physics,Science and Research,Specialized Skill,False,3
Static Files,Software Development,Information Technology,Specialized Skill,True,4
Static HTML,Web Design and Development,Information Technology,Specialized Skill,True,6
Static Load,Civil and Architectural Engineering,Engineering,Specialized Skill,False,5
Static Pages,Web Design and Development,Information Technology,Specialized Skill,False,3
Static Pressure,HVAC,"Maintenance, Repair, and Facility Services",Specialized Skill,False,6
Static Program Analysis,Software Quality Assurance,Information Technology,Specialized Skill,False,159
Static Timing Analysis,Circuitry,Engineering,Specialized Skill,False,30
Statistical Analysis,Data Analysis,Analysis,Specialized Skill,False,1463
Statistical Arbitrage,Financial Trading,Finance,Specialized Skill,False,11
Statistical Graphics,Data Visualization,Analysis,Specialized Skill,False,1
Statistical Hypothesis Testing,Statistics,Analysis,Specialized Skill,False,129
Statistical Inference,Statistics,Analysis,Specialized Skill,False,48
Statistical Language Acquisition,Data Science,Analysis,Specialized Skill,False,6
Statistical Learning Theory,Statistics,Analysis,Specialized Skill,False,25
Statistical Methods,Statistics,Analysis,Specialized Skill,False,406
Statistical Modeling,Statistics,Analysis,Specialized Skill,False,519
Statistical Packages,Statistical Software,Analysis,Specialized Skill,False,158
Statistical Parametric Mapping,,,Specialized Skill,False,1
Statistical Physics,Statistics,Analysis,Specialized Skill,False,15
Statistical Process Controls,Process Engineering,Engineering,Specialized Skill,False,603
Statistical Programming,Software Development,Information Technology,Specialized Skill,False,204
Statistical Reporting,Statistics,Analysis,Specialized Skill,False,376
Statistical Signal Processing,Electrical and Computer Engineering,Engineering,Specialized Skill,False,5
Statistical Software,Statistical Software,Analysis,Specialized Skill,True,255
Statistical Theory,Statistics,Analysis,Specialized Skill,False,10
Statistical Thinking,Statistics,Analysis,Specialized Skill,False,26
Statistics,Statistics,Analysis,Specialized Skill,False,1567
Stator,Electromechanical Engineering,Engineering,Specialized Skill,False,19
Statsd,Software Development Tools,Information Technology,Specialized Skill,True,6
Statsmodels,Statistical Software,Analysis,Specialized Skill,True,10
Statutory Accounting Principles,General Accounting,Finance,Specialized Skill,False,350
Statutory Accounts,Financial Reporting,Finance,Specialized Skill,False,3997
Statutory Audit,Auditing,"Law, Regulation, and Compliance",Specialized Skill,False,324
Statutory Interpretation,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,7
Statutory Law,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,27
Statutory Reporting,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,1243
Steam Cleaning,Cleaning and Janitorial Services,"Maintenance, Repair, and Facility Services",Specialized Skill,False,2
Steam Generators,Machinery,Manufacturing and Production,Specialized Skill,False,17
Steam Methane Reforming,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,3
Steam Power Plant,Power Generation,Energy and Utilities,Specialized Skill,False,3
Steam Sterilization,Medical Support,Health Care,Specialized Skill,False,15
Steam Trap,Machinery,Manufacturing and Production,Specialized Skill,False,8
Steam Turbine,Power Generation,Energy and Utilities,Specialized Skill,False,76
SteamVR,,,Specialized Skill,True,1
Steel Casting,Metal Fabrication,Manufacturing and Production,Specialized Skill,False,1
Steel Conduits,,,Specialized Skill,False,6
Steel Cutting,Metal Fabrication,Manufacturing and Production,Specialized Skill,False,12
Steel Design,Civil and Architectural Engineering,Engineering,Specialized Skill,False,46
Steel Forms,Concrete and Masonry,Architecture and Construction,Specialized Skill,False,1
Steel Frame,General Construction and Construction Labor,Architecture and Construction,Specialized Skill,False,2
Steering Mechanisms,Automotive Technologies,Engineering,Specialized Skill,False,2
Steinberg Nuendo,Audio Production and Technology,Media and Communications,Specialized Skill,True,3
Stem Cell Biology,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,33
Stenciling,Construction Painting,Architecture and Construction,Specialized Skill,False,1
Stepper,Automation Engineering,Engineering,Specialized Skill,False,18
Stepper Motor,Electromechanical Engineering,Engineering,Specialized Skill,False,20
Stereolithography,Manufacturing Processes,Manufacturing and Production,Specialized Skill,False,1
Stereophonic Sound System,Audio Production and Technology,Media and Communications,Specialized Skill,False,24
Stereopsis,Eye Care,Health Care,Specialized Skill,False,4
Stereotactic Body Radiation Therapy (SBRT),Medical Imaging,Health Care,Specialized Skill,False,6
Stereotactic Surgery,Surgery,Health Care,Specialized Skill,False,42
Sterile Processing,Medical Support,Health Care,Specialized Skill,False,23
Sterile Products,Pharmacy,Health Care,Specialized Skill,False,56
Sterile Solutions,Medical Support,Health Care,Specialized Skill,False,1
Sterile Techniques And Procedures,General Medical Tests and Procedures,Health Care,Specialized Skill,False,35
Sterility,Obstetrics and Gynecology (OBGYN),Health Care,Specialized Skill,False,12
Sterilization,Medical Support,Health Care,Specialized Skill,False,213
Sterilization Validation,Quality Assurance and Control,"Law, Regulation, and Compliance",Specialized Skill,False,2
Stewardship,Initiative and Leadership,Physical and Inherent Abilities,Common Skill,False,99
Stewing,Food and Beverage,Hospitality and Food Services,Specialized Skill,False,19
Still Cameras,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,1
Still Life,Art and Illustration,Design,Specialized Skill,False,37
Stipulation,Legal Proceedings,"Law, Regulation, and Compliance",Specialized Skill,False,3
Stm32,Computer Hardware,Information Technology,Specialized Skill,False,70
Stochastic Calculus,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,74
Stochastic Modeling,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,24
Stochastic Optimization,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,3
Stochastic Process,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,25
Stochastic Simulation,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,3
Stochastic Volatility,Financial Analysis,Finance,Specialized Skill,False,2
Stock Checking,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,319
Stock Control,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,7433
Stock Farming,Livestock Farming,"Agriculture, Horticulture, and Landscaping",Specialized Skill,False,34
Stock Keeping Unit,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,232
Stock Management,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,3381
Stock Markets,Financial Trading,Finance,Specialized Skill,False,68
Stock Photography,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,7
Stock Rotation,Merchandising,Sales,Specialized Skill,False,1903
Stock Selection Criterion,Financial Trading,Finance,Specialized Skill,False,203
Stock Solution,Laboratory Research,Science and Research,Specialized Skill,False,2
Stock Split,Financial Trading,Finance,Specialized Skill,False,5
Stock Transfer Agent,Financial Trading,Finance,Specialized Skill,False,68
Stock Valuation,Financial Analysis,Finance,Specialized Skill,False,63
Stocking Merchandise,Merchandising,Sales,Specialized Skill,False,362
Stocks (Finance),General Finance,Finance,Specialized Skill,False,19
Stocks (Inventory),Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2897
Stoichiometry,Chemistry,Science and Research,Specialized Skill,False,2
Stokes Equation,,,Specialized Skill,False,2
Stoma (Medicine),General Medical Tests and Procedures,Health Care,Specialized Skill,False,190
Stonemasonry,Concrete and Masonry,Architecture and Construction,Specialized Skill,False,94
Stop Motion,Animation and Game Design,Design,Specialized Skill,False,10
Stop Payments,Banking Services,Finance,Specialized Skill,False,16
Stopped Flow,,,Specialized Skill,False,1
Storage Architecture,Data Storage,Information Technology,Specialized Skill,False,23
Storage Area Network (SAN),General Networking,Information Technology,Specialized Skill,False,93
Storage As A Service (STaaS),Cloud Solutions,Information Technology,Specialized Skill,False,1
Storage Devices,Data Storage,Information Technology,Specialized Skill,False,52
Storage Management,IT Management,Information Technology,Specialized Skill,False,99
Storage Service Provider,,,Specialized Skill,False,25
Storage Systems,Data Storage,Information Technology,Specialized Skill,False,408
Storage Virtualization,Virtualization and Virtual Machines,Information Technology,Specialized Skill,True,7
Storages,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,34
Stored Functions,Query Languages,Information Technology,Specialized Skill,False,1
Stored Procedure,Computer Science,Information Technology,Specialized Skill,True,829
Storekit,,,Specialized Skill,True,3
Storm Drains,Roads and Drainage,Engineering,Specialized Skill,False,3
StormCAD,Computer-Aided Manufacturing,Manufacturing and Production,Specialized Skill,True,2
Stormwater Management,Roads and Drainage,Engineering,Specialized Skill,False,44
Story Point Estimation,Agile Software Development,Information Technology,Specialized Skill,False,3
Storyboarding,Creative Design,Design,Specialized Skill,False,820
StorybookJS,Web Design and Development,Information Technology,Specialized Skill,True,103
Storytelling,Media Production,Media and Communications,Specialized Skill,False,263
Strabismus,Eye Care,Health Care,Specialized Skill,False,15
Strace,Software Quality Assurance,Information Technology,Specialized Skill,False,1
Strain Gauge,"Engineering, Scientific, and Technical Instruments",Engineering,Specialized Skill,False,9
Strategic Alignment,Business Strategy,Business,Specialized Skill,False,200
Strategic Alliance,Business Strategy,Business,Specialized Skill,False,130
Strategic Analysis,Business Analysis,Business,Specialized Skill,False,261
Strategic Communication,Communication,Media and Communications,Specialized Skill,False,385
Strategic Decision-Making,Business Strategy,Business,Specialized Skill,False,1377
Strategic Fit,Business Strategy,Business,Specialized Skill,False,57
Strategic Leadership,Business Strategy,Business,Specialized Skill,False,860
Strategic Management,Business Strategy,Business,Specialized Skill,False,663
Strategic Management Professional,,,Certification,False,1
Strategic Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,559
Strategic Negotiations,Business Strategy,Business,Specialized Skill,False,11
Strategic Partnership,Business Strategy,Business,Specialized Skill,False,558
Strategic Planning,Critical Thinking and Problem Solving,Physical and Inherent Abilities,Common Skill,False,6824
Strategic Positioning,Business Strategy,Business,Specialized Skill,False,168
Strategic Prioritization,Business Strategy,Business,Specialized Skill,False,953
Strategic Procurement,Procurement,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,1687
Strategic Resources,Financial Analysis,Finance,Specialized Skill,False,50
Strategic Roadmaps,Business Strategy,Business,Specialized Skill,False,347
Strategic Selling,General Sales Practices,Sales,Specialized Skill,False,72
Strategic Sourcing,Procurement,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,832
Strategic Technology Planning,Business Strategy,Business,Specialized Skill,False,13
Strategic Thinking,Critical Thinking and Problem Solving,Physical and Inherent Abilities,Common Skill,False,3105
Strategy Dynamics,,,Specialized Skill,False,1
Strategy Execution,Business Strategy,Business,Specialized Skill,False,150
Strategy Map,Business Strategy,Business,Specialized Skill,False,5
Stratified Sampling,Statistics,Analysis,Specialized Skill,False,3
Stratigraphy,Earth and Space Science,Science and Research,Specialized Skill,False,2
Stream Control Transmission Protocols,Network Protocols,Information Technology,Specialized Skill,False,10
Stream Processing,Data Management,Information Technology,Specialized Skill,False,153
Stream Processors,,,Specialized Skill,False,3
StreamSets,"Extraction, Transformation, and Loading (ETL)",Information Technology,Specialized Skill,False,25
Streamlining,Process Improvement and Optimization,Business,Specialized Skill,False,429
Street Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,4
Strength Training And Conditioning,Coaching and Athletic Training,"Performing Arts, Sports, and Recreation",Specialized Skill,False,97
Stress Analysis,Civil and Architectural Engineering,Engineering,Specialized Skill,False,160
Stress Corrosion Cracking,Materials Science and Engineering,Engineering,Specialized Skill,False,1
Stress Engineering,"Engineering, Other",Engineering,Specialized Skill,False,85
Stress Management,Mental Health Therapies,Health Care,Common Skill,False,497
Stress Strain Analysis,Civil and Architectural Engineering,Engineering,Specialized Skill,False,1
Stress Testing,Civil and Architectural Engineering,Engineering,Specialized Skill,False,672
Stressed VaR,Business Analysis,Business,Specialized Skill,False,7
Stretch Wrapping,Inventory and Warehousing,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,27
Strict Liability,,,Specialized Skill,False,2
Stringed Instruments,Music,"Performing Arts, Sports, and Recreation",Specialized Skill,False,2
Stripline,Electrical and Computer Engineering,Engineering,Specialized Skill,False,1
Stroke Recovery,Rehabilitation,Health Care,Specialized Skill,False,165
Stromal Cell,,,Specialized Skill,False,3
Strong Academic Record,Personal Attributes,Physical and Inherent Abilities,Specialized Skill,False,936
Strong Work Ethic,Personal Attributes,Physical and Inherent Abilities,Common Skill,False,16709
Structural Analysis,Civil and Architectural Engineering,Engineering,Specialized Skill,False,307
Structural Assessment,Civil and Architectural Engineering,Engineering,Specialized Skill,False,35
Structural Bioinformatics,Bioinformatics,Science and Research,Specialized Skill,False,6
Structural Biology,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,95
Structural Calculations,Civil and Architectural Engineering,Engineering,Specialized Skill,False,101
Structural Change,Business Operations,Business,Specialized Skill,False,25
Structural Detailing,Civil and Architectural Engineering,Engineering,Specialized Skill,False,39
Structural Drawing,Drafting and Engineering Design,Engineering,Specialized Skill,False,10
Structural Dynamics,Civil and Architectural Engineering,Engineering,Specialized Skill,False,24
Structural Engineering,Civil and Architectural Engineering,Engineering,Specialized Skill,False,2019
Structural Engineering Software,Civil and Architectural Engineering,Engineering,Specialized Skill,True,9
Structural Equation Modeling,Statistics,Analysis,Specialized Skill,False,9
Structural Geology,Geological Engineering,Engineering,Specialized Skill,False,5
Structural Health Monitoring,Civil and Architectural Engineering,Engineering,Specialized Skill,False,16
Structural Load,Civil and Architectural Engineering,Engineering,Specialized Skill,False,15
Structural Materials,Civil and Architectural Engineering,Engineering,Specialized Skill,False,66
Structural Mechanics,Civil and Architectural Engineering,Engineering,Specialized Skill,False,21
Structural Modeling,Civil and Architectural Engineering,Engineering,Specialized Skill,False,26
Structural Repairs,General Repairs and Maintenance,"Maintenance, Repair, and Facility Services",Specialized Skill,False,164
Structural Steel,"Elements, Compounds, and Materials",Science and Research,Specialized Skill,False,664
Structural Steel Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,8
Structural Systems,Civil and Architectural Engineering,Engineering,Specialized Skill,False,37
Structural Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,7
Structural Work,,,Specialized Skill,False,34
Structure Activity Relationship,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,5
Structured Analysis,System Design and Implementation,Information Technology,Specialized Skill,False,62
Structured Cabling,Telecommunications Equipment and Installation,"Maintenance, Repair, and Facility Services",Specialized Skill,False,231
Structured Design,Creative Design,Design,Specialized Skill,False,34
Structured Finance,Structured Finance,Finance,Specialized Skill,False,353
Structured Interview,General Science and Research,Science and Research,Specialized Skill,False,55
Structured Product,Investment Management,Finance,Specialized Skill,False,270
Structured Programming,Software Development,Information Technology,Specialized Skill,False,27
Structured Query Language Procedural Language (SQL PL),Query Languages,Information Technology,Specialized Skill,False,95
Structured Storage,,,Specialized Skill,False,4
Structured Systems Analysis And Design Methods,System Design and Implementation,Information Technology,Specialized Skill,False,8
Structured Text,Software Development,Information Technology,Specialized Skill,False,31
Structured Writing,Writing and Editing,Media and Communications,Specialized Skill,False,9
Structuremap,Software Development Tools,Information Technology,Specialized Skill,True,1
Stubbing,Software Development,Information Technology,Specialized Skill,False,8
Stud Welding,"Welding, Brazing, and Soldering",Manufacturing and Production,Specialized Skill,False,10
Student Affairs Administration,Higher Education,Education and Training,Specialized Skill,False,22
Student Development,Education Administration,Education and Training,Specialized Skill,False,399
Student Engagement,Teaching,Education and Training,Specialized Skill,False,958
Student Information Systems,Education Software and Technology,Education and Training,Specialized Skill,False,457
Student Learning Outcomes,Education Administration,Education and Training,Specialized Skill,False,22
Student Marketing,Industry Specific Marketing,Marketing and Public Relations,Specialized Skill,False,27
Student Pilot Certificates,,,Certification,False,1
Student Placements,Education Administration,Education and Training,Specialized Skill,False,319
Student Record Maintenance,Education Administration,Education and Training,Specialized Skill,False,50
Student Recruitment,Education Administration,Education and Training,Specialized Skill,False,779
Student Services,Student Support and Services,Education and Training,Specialized Skill,False,1302
Student-Centred Learning,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,37
Studio Recording,Media Production,Media and Communications,Specialized Skill,False,39
Studious,Personal Attributes,Physical and Inherent Abilities,Common Skill,False,9
Study Population,Clinical Trials,Science and Research,Specialized Skill,False,7
Study Skills,Teaching,Education and Training,Specialized Skill,False,58
StumbleUpon,Digital Marketing,Marketing and Public Relations,Specialized Skill,False,1
Stuttering Disorders,Speech Language Pathology,Health Care,Specialized Skill,False,1
Style Guides,Graphic and Visual Design,Design,Specialized Skill,False,441
Style Sheets,User Interface and User Experience (UI/UX) Design,Design,Specialized Skill,False,23
StyleCop,Software Development Tools,Information Technology,Specialized Skill,True,6
Sub-Acute Care,Nursing and Patient Care,Health Care,Specialized Skill,False,7
Subcloning,Genetics,Science and Research,Specialized Skill,False,5
Subcontracting,Contract Management,Business,Specialized Skill,False,7162
Subculture,Social Studies,"Economics, Policy, and Social Studies",Specialized Skill,False,5
